text,group
After that 2$ per 10min blk,btohqsg
Anyway the training all double standard also,btohqsg
My training tell me reach Alr see the person press pickup.,btohqsg
So only received item then press pickup?,btohqsg
Haven't take food nvm see the person press pickup,btohqsg
I only found out today after Alvin tell me,btohqsg
But I find the pings more than go Jek,btohqsg
Question is can u bid tio noy,btohqsg
If you need to wait 1 hr for the food  you call cs after 10 mins?,btohqsg
Usually I see people start to call and kpkb rafter 15mins,btohqsg
My longest wait was for 1hr 20min,btohqsg
Just now see one from Woodlands to Sengkang. Industrial fan. Can car fit?,btohqsg
Cannot unsure no confident no take,btohqsg
Unless u noah and above can try,btohqsg
Lol my 5pm order picked liao,btohqsg
GogogogoI h3ading towards my last order liao,btohqsg
8 tripsAfter tht pk lorHit 210 nett today liao,btohqsg
What time u start gj this morninh,btohqsg
Long focus on lala only now. Think wise move,btohqsg
6 to 9am got pingsNt many though,btohqsg
After 9 cam go fly kite,btohqsg
Did 8 trips go back liao,btohqsg
New driver  so fast how to click to accept order??,btohqsg
I can’t even read details  gone :(,btohqsg
I lao jiao until cannot stand liao,btohqsg
Doing lala is kinda of a gambleU nd to be fast.... Learn to look for key words,btohqsg
TttFare descriptionCar or bikeTrain to look at those 3 item,btohqsg
However like all gambling... U tend to lose some,btohqsg
Usually we just whack. Press first cry later,btohqsg
Like this when u kena 2 x 5pm orders at the same time,btohqsg
CarI look for destinationsIf cck jurong I just ignoreUnless very hf20+ also cannot,btohqsg
My highest fare so far is 80 cash,btohqsg
Mine today mostly out of the wayTotal mileage plus gojek 385km,btohqsg
Nett total 210+ but 3/4 tank,btohqsg
Tio 🔫 one time1st 2 call all nearby pick upTu bo3rd 1 just press...KnnAt bishanTio sentosaSend to pgKnnbccb,btohqsg
My last 2 job win you liao,btohqsg
Kio one Simon Road to bedok,btohqsg
Then fly to upper bukit timah send to bayshore,btohqsg
I wanted to press killeny to t blangah,btohqsg
Got next job in q better becarefulSuay tio few stop hong gan,btohqsg
SundayPia 20tLast minute simi call alao take,btohqsg
Can set the column almost same line😂,btohqsg
I dont know whether all hp can,btohqsg
wa lau  have not even seen your pickup anddestination.youaccept already,btohqsg
Where got time to see puOnly see boon lay bike and $$,btohqsg
Lol tried the large fontsKnn lost a jurong job just nw becoz i keep pressing cancel,btohqsg
Duno laNow just jv to gt used to itMy fingers aint fast anywayHow big also no use lol,btohqsg
But defintely faster by a milli sec as before,btohqsg
Not fast still can get so many car job everyday,btohqsg
Cannkt tk jobs at all siaToo fast,btohqsg
Wad fuck software they using sia,btohqsg
9 to 10 car jobs come n go within 0.5secs...how sia....,btohqsg
Really hate this fast fingers schemeLike fucking slaves snatching for bread crumbs,btohqsg
Car job is easy to bid than bikeBike is car+bike bidding,btohqsg
Guy ask u all if both timing clashed what Shld I do?,btohqsg
How to clash unless ownee change timing themselves,btohqsg
I fuck up todayAll bike jobs,btohqsg
All long distanxe low fares and non connecting trips,btohqsg
WuLala will tell u u got 40min job,btohqsg
But u got advance jobBetter be careful,btohqsg
U got 100 fan also no use?😂,btohqsg
My friend just tio banSick but no see doctorCall csoNo do sat sun ajTio ban,btohqsg
If u have a 6pm job5pm see one hfBetter dont take,btohqsg
Bro can I ask .if job cant do want cancel then need before 1hr call Cso?,btohqsg
Any penalties if cancel job after accepting?,btohqsg
CurrentU bid got to doNo ppl can help u,btohqsg
Bro big enough or nt hahaha,btohqsg
Can tap 3x at same spot?,btohqsg
Really very fast cant get a job ...,btohqsg
1st tap cannoy2nd and 3rd can.... But nd to move a milli up a biy,btohqsg
Ya 2nd largestLargest i try liaoCannot see shit haaha,btohqsg
No seeBike hf cannot doUnless after 2pm,btohqsg
So u pass out back ?,btohqsg
U know tiong bahruUnder city or south zone,btohqsg
Sian abt to take the tuas job for tml then hp drop from holder,btohqsg
Knn i always believe in fate....,btohqsg
Lalamove ping  will get neuropathy for me ...,btohqsg
Last week tio therePrevious driver miss out 4 tartCar job to bayshore,btohqsg
Jobs disappear the moment i set my eyes on it,btohqsg
Just like the women i like in the past,btohqsg
On my 5th trip waiting for the food to be ready,btohqsg
4 bike trips and 1 car,btohqsg
All cheapo tripsAll short distance but not connecting,btohqsg
Jibai my order 1230 until now nt done,btohqsg
Dun worri broU get the hang of it,btohqsg
Look at the app no order got order finger too slow,btohqsg
Dun look keep ping new order,btohqsg
I fuck care liaoAnyhow take advance order lolJust tool a 19th may job,btohqsg
AlvinU no do gj liao ar,btohqsg
No callGrab alsoDont waste timeTake lala incentive better,btohqsg
I cant even hit any hahah,btohqsg
1 day 9t....very hard for meBut i try,btohqsg
Tie hand tie lehI dont like,btohqsg
U know how lala calculate Friday incentive?Gross fare +20%?,btohqsg
I nt sure coz i nv got it b4Paisei,btohqsg
Planning to do how many today,btohqsg
Jia you bah!!!I stopping at my last order at 520pm...7th trip,btohqsg
All rabak fares laJust now i do 2 x gj trip,btohqsg
Now roam to my hse areaGo bk shower n pangsaiNxt order 4pm at simei,btohqsg
I only 4 trips till now,btohqsg
Nvm laLtr peak sure gt a lot,btohqsg
Can I ask this need toonup now ? Or now cant take cash job  only ?,btohqsg
Wtf bro 8 trips liao??? Legendary,btohqsg
Then also can received job right ?,btohqsg
If i nt wrongCan only take credit job for nw,btohqsg
I dun remember they allow for negative balance unless customer payment issues,btohqsg
Bro u all power   I really cant take the job . Very very faster get people take it,btohqsg
