text,group
tiring to travel all the way down,btohqsg
1 stop but i did not get,btohqsg
Well gt my gj 7t liao,btohqsg
woodlands to dover $30.also did not get,btohqsg
Can be 1 stopUnless jurong than chai chee,btohqsg
Woodland to chai chee on cash term single drop off where got 39 bucks one,btohqsg
Today no holiday and no surcharge,btohqsg
maybe too fast.did not see whether got extra stop,btohqsg
bike and car price big difference,btohqsg
$3915+$24Car $2=5k$24 at least 60km if no extra stop,btohqsg
U wan to tale my 5.50pm order? Short trip though,btohqsg
PM me if u want ok...,btohqsg
