text,group
The Audi quattro Cup returns to SingaporeHole-in-one prizes for the Audi quattro Cup golf tournament include an Audi e-tron  Audi e-tron Sportback and an Audi A3 Sedan! ⛳Read on to find out more➡️https://bit.ly/3nFjagZ,btohqsg
Father and son almost get crushed by C-HR with p-platesJust one second slower and this would have been a different story 😰Read the full story👉🏻https://bit.ly/3AickSf,btohqsg
Refreshed Jaguar F-PACE SVR and Jaguar XF now in SingaporeNew tech and a more dynamic exterior both feature in the refreshed F-PACE SVR performance SUV and the XF luxury sedan  now available here in Singapore 👏🏻✨Read on to find out more➡️https://bit.ly/3AkC5RT,btohqsg
Audi A5 with a long list of traffic infringements finally gets a wrecking it deservesFive different videos at different locations but same culprit 😱Read the full story👉🏻https://bit.ly/3nWf7gm,btohqsg
Be careful around trucks - they can squash you like an antFriendly reminder: At close to 10 tons  our huge tipper trucks can weigh up to 10 times more than a sedan like the Toyota Vios. You don't want to mess around with them  so here's how to stay safe on our roads! 😯🚚Read the full article here➡️https://bit.ly/3zoSkvY,btohqsg
The tiny Aston Martin DB5 Junior will let you and one kiddo live out your Bond fantasiesComplete with simulated guns and a smoke screen for successful getaways  the Aston Martin DB5 Junior is sure to get your child hooked onto the Bond franchise 👶🏼🚗Read on to find out more➡️https://bit.ly/3CtSZ14,btohqsg
Honda driver hogs the road and ends up getting rear-endedHello TP 👉🏻 this guyRead the full story👉🏻https://bit.ly/3CBSnGV,btohqsg
AA Singapore launches new road safety campaignThis year's#3500Livesroad safety campaign depicts the importance and responsibilities of road sharing amongst all road users 🛣Read on to find out more➡️https://bit.ly/3lLpnp5,btohqsg
LATEST COE RESULTS (September 2nd Bidding)$5000+ increase in CAT B and CAT E COE categories. In just 2 rounds of bidding  CAT B went up by FIVE digits 😱CAT A: $48 000 🔼 $1 000CAT B: $68 310  🔼 $5 710CAT C: $39 000 🔽 $1 001CAT E: $70 002  🔼 $5 302For the full breakdown➡️https://bit.ly/352jmMWSelling your car? Get the highest price guaranteed or you get $100 free!➡️https://bit.ly/FreeQuoteTG,btohqsg
BMW R 18 Bike ReviewThe BMW R 18 delivers a delightful and personable riding experience with its own Boxer engine 😁✅ Spits out 90 bhp and 158 Nm of torque✅ Feels lighter than its on-paper weight✅ Eye-catching looks✅ Old school vibes🤔 Seat lacks cushioning🤔 Suspension is quite firm🤔 More expensive than a HarleyThe R 18 is a cool-looking  fun-riding and retro-feeling naked bike that shares much more in common with that original R 5 🏍Read the full review here➡️https://bit.ly/3zyrSju,btohqsg
2021 Kia Stinger 3.3 GT V6 Video ReviewWe find out if the facelifted 2021 Kia Stinger is still a value proposition for sports sedans if you want to go fast and still have four doors 🚗💨Watch the full video review here➡️https://bit.ly/3lP4dX9,btohqsg
Should there be a new class of license for drivers of sports cars?Even a car with 93bhp can be a deadly killing machine in the hands of a clueless driver 😵Read the full story👉🏻https://bit.ly/3ELByes,btohqsg
You're not supposed to get in the correct lane that early - or are you?Traffic scientists have argued that zipper merging improves traffic. From one (traffic-)illiterate Singaporean to another  we don't think it'll work here 🚦Read on to find out more➡️https://bit.ly/39D7XVW,btohqsg
Lane-splitting between two vehicles? Don't be like this biker with no common senseIf you feel like you won't be able to squeeze through two vehicles  you're probably right 99% of the time 😤Read the full story👉🏻https://bit.ly/2W7JnJQ,btohqsg
Will It Tapau? - Getting Katong Staples in a Kia StingerWe are back to tapau your favourite foods  and today we are headed to Katong in the Kia Stinger 🧐Watch the full video review here➡️https://bit.ly/3AIzilG,btohqsg
Additional $23.5 million of support for point-to-point drivers announced as Singapore tightens restrictions (again)The LTA is reviving the COVID-19 Driver Relief Fund (CDRF) again as Singapore tightens restrictions while battling its largest surge in cases yet 😷Read on to find out more➡️https://bit.ly/3zJaOaG,btohqsg
This Mercedes driver's spirit animal must be a 'Sotong'  judging from the way it drivesBlur like Sotong or drunk like Skunk? 🐙Read the full story👉🏻https://bit.ly/3m4jROu,btohqsg
Road markings in Singapore - Identify  understand and follow the lawHandy guide for when you're unsure of what you can or cannot do 👍🏻Read the full article here➡️https://bit.ly/3m4ThVo,btohqsg
Container truck swerves to avoid lorry on PIE  mauls down multiple cars in the processThe accident caused a massive jam with only 1 out of 3 lanes passable.... in morning rush hour traffic 😱Read the full story👉🏻https://bit.ly/3o5Fpx0,btohqsg
Used Volkswagen Golf (MK1) GLI CabrioletA smart modern classic presented in its highly original condition ✨✅ COE 7+yrs✅ 1982 Sports Car✅ Less than 10k depreciation✅ Manual transmission🤔 COE car🤔 More than 6 owners🤔 Unknown mileage🤔 White cars are hard to maintainHave a look➡️https://bit.ly/3CU0tuF,btohqsg
Jaguar E-PACE Mild Hybrid 1.5 SE (A) ReviewFACELIFTJaguar's improved SUV proves that good things do come in small packages 🎁✅ Heritage-inspired grille✅ New LED headlights with 'double J' daytime running lights✅ 1.5 litre engine that spits out 158 bhp and 260 Nm of torque✅ User friendly Pivi Pro infotainment system✅ New suede-lined gear leverAs a premium compact SV  the new E-PACE prioritises comfort and space more than ever 🤤👍🏻Read the full review here➡️https://bit.ly/2Wg3u8T,btohqsg
Mercedes driver caught red handed committing a hit and run in broad daylightHit  run  stop at traffic light... and run again 🚦Read the full story👉🏻https://bit.ly/2ZEriob,btohqsg
Here ye here ye! The new Morgan Four is now in SingaporeThe new Morgan Plus Four comes with an optional active sports exhaust for added drama. There's also new seats  USB chargers  and lockable storage inside 👀Read on to find out more➡️https://bit.ly/3oegtTS,btohqsg
Is your friend as 'brother' as this? Watch as he becomes a human P-plate holderTag a bro who would do this for you 😎Read the full story👉🏻https://bit.ly/3AOc1ii,btohqsg
Forget travel bubbles  MINI is offering up a one-of-a-kind adventure to discover a unique side of SingaporeMINI is offering all the opportunity to discover a different side of Singapore with a one-of-a-kind adventure in the MINI range 🚙Read on to find out more➡️https://bit.ly/3umv00V,btohqsg
Used Honda Civic Type R 2.0M VTEC Turbo GTA facelifted model with 5 years of warranty 👍✅ COE 9+yrs✅ 2020 Sports Car✅ Manual transmission✅ PARF car✅ One owner only🤔 More than 10k depreciation🤔 High mileageHave a look➡️https://bit.ly/3ASshyT,btohqsg
2021 BMW M3 Sedan 3.0 Competition Video ReviewThe new BMW M3 is probably still the performance sedan to beat  despite what you think about its looks 😮Watch the full video review here➡️https://bit.ly/3m71rg8,btohqsg
A misjudged discretionary turn by Toyota MPV gives a motorcyclist the flight of his lifeDiscretionary turns should be abolished 😤Read the full story👉🏻bit.ly/2YboEG7,btohqsg
Mercedes driver road hogs and plays braking game like its his grandfather roadSome comments say this isn't road hogging. What do you think? 🤨Read the full story👉🏻https://bit.ly/3m9T1Vo,btohqsg
Lamenting high COE prices will never go out of style  but we've already accepted our lotSingaporeans  an undyingly calculative bunch  have taken utility maximising and dollar-stretching to fascinating heights over the years in their car ownership 🤑Read on to find out more➡️https://bit.ly/3F2387b,btohqsg
Audi quattro Cup concludes in SingaporeThe Audi quattro Cup  hosted at Sentosa Golf Club's New Tanjong Course  one of the region's most prestigious and long-standing golf clubs  has concluded 🏆Read on to find out more➡️https://bit.ly/3ijv5xO,btohqsg
Driver vs driver in epic shouting match on the roadLots of Hokkien vulgarities were used 🤬Read the full story👉🏻https://bit.ly/3imCpsv,btohqsg
The Backseat Driver: Why We Haven’t Reviewed The Tesla Video ReviewWe answer two of your biggest questions - where is the Tesla Model 3 review and should you buy one 👀Watch the full video review here➡️https://bit.ly/39VLW5a,btohqsg
Ang moh cyclist vents his frustrations at road users at Serangoon GardensSerangoon Gardens Circus just found it's biggest clown 🤡🎪Read the full story👉🏻https://bit.ly/2Y7Omux,btohqsg
5 for fighting: two different owners with two distinct expectationsWhere the BMW 5 Series excels in luxurious comfort and quality  the M5 Competition bleeds performance and excitement 🚘Read on to find out more➡️https://bit.ly/3iulMLi,btohqsg
WTF Moment: A taxi was spotted driving around the ArtScience MuseumPassenger: I'm here already.... outside ArtScience Museum 😰TD: On my way!Read the full story👉🏻https://bit.ly/3Fi5Sxg,btohqsg
Watch this Mercedes C200 driver ruthlessly run over a Deliveroo rider at a red lightWe've all heard the saying  'safety regulations are written in blood' 🩸Read the full story👉🏻https://bit.ly/3A4xpP3,btohqsg
Best performance car tyres for the ultimate driving experience in 2021Swapping out your car tyres for performance tyres does not only make your car look cooler  but it also can enhance your everyday drive 🏎⚡️Read the full article here➡️https://bit.ly/3a2We3p,btohqsg
Curious about a car you just spotted? sgCarMart and Huawei can get you all the info you need with just one photoA new collaboration between sgCarMart and Huawei makes searching up info on a car as simple as snapping a quick photo 🤳🚘Read on to find out more➡️https://bit.ly/2WBkBly,btohqsg
BMW R NineT Scrambler Bike ReviewThe R NineT Scrambler delivers ample riding enjoyment coupled with a retro aesthetic 🏍✅ Comfortable riding position✅ Spits out 107 bhp of power and 116Nm of torque✅ Very accessible in terms of rideability✅ Smooth boxer engine🤔 Odd seat shape🤔 Ride can be busy at timesWith BMW's new motorcycle  its retro style feels like a welcome breath of fresh air 🌱Read the full review here➡️https://bit.ly/3a7O6OU,btohqsg
"Newly recommended road cycling rules — Do they actually matter?""Up to 2 cyclists are allowed to ride abreast on roads with two or more lanes"" 😩Read the full story👉🏻https://bit.ly/3lcwZln",btohqsg
